ligand_id,smiles
CHEMBL4633760,CC(=O)Nc1ccc(/N=N/c2ccccc2OC[C@@H](O)CNC(C)C)cc1
CHEMBL1256864,CC(C)(C)NCC(O)COc1cccc2[nH]c(=O)[nH]c12
CHEMBL121704,O=C(Nc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1I)c1ccccc1
CHEMBL384467,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CHEMBL1083669,C=CCc1ccccc1OCC(O)CNC1CCN(C)CC1
CHEMBL1945503,O=c1ccc2c([C@@H](O)CNCCc3cccc(CNCCc4ccccn4)c3)ccc(O)c2[nH]1
CHEMBL1221637,C[C@@H](NC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12)c1ccc2ccccc2c1
CHEMBL3800341,COc1cc(CCNCCc2ccc(O)c3c2OCC(=O)N3)ccc1OCCCc1ccccc1
CHEMBL387852,CCOC(=O)COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(Br)no2)cc1
CHEMBL4859326,CN(C)C(=O)CNc1ccc2c(c1)C[C@@H](NC[C@H](O)c1ccc(O)c(CCO)c1)CC2
CHEMBL4458797,CC(C)NCC(O)COc1ccccc1CCCSCC(=O)NCCOCCOCCN
CHEMBL1221861,O=c1[nH]c2c(O)ccc([C@@H](O)CNCCSc3ccc(Cl)cc3)c2s1
CHEMBL393648,O[C@@H](CNC1CCCCC1)COc1cccc2[nH]ccc12
CHEMBL1221735,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](NC[C@H](O)c1ccc(O)c3[nH]c(=O)sc13)C2
CHEMBL4532142,COc1ccccc1CCCC(=O)NCCNC(=O)CCCc1ccccc1OC[C@@H](O)CNC(C)C
CHEMBL1800963,COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)c2ccccc12
CHEMBL1258025,OC(CNC1CCN(c2ncnc3scc(-c4cccs4)c23)CC1)COc1ccccc1
CHEMBL565770,CC(C)(Cc1ccc(NC(=O)CCCNC(=N)N)cc1)NCC(O)c1cc(O)cc2c1OCC(=O)N2
CHEMBL1807830,O=c1[nH]c2c(O)ccc([C@@H](O)CNCC[S+]([O-])CCCNCCc3cccc(Cl)c3)c2s1
CHEMBL1094323,O=c1ccc2c([C@@H](O)CNC3Cc4ccccc4C3)ccc(O)c2[nH]1
CHEMBL1940819,OCc1cc(C(O)CNC2Cc3ccc(NCC(O)c4ccccc4)cc3C2)ccc1O
CHEMBL274361,COc1ccc(CC[C@@H](C)NC[C@H](O)COc2ccc(O)cc2)cc1
CHEMBL416012,COc1cccc2c(CC(C)NC[C@H](O)c3cccc(Cl)c3)c[nH]c12
CHEMBL4593181,COc1cc(CCNC[C@H](O)COc2ccc(O)c(O)c2)ccc1OCCCc1ccccc1
CHEMBL186196,CCOc1cccc2c(C[C@@H](C)NC[C@H](O)c3cccc(NS(=O)(=O)c4cccs4)c3)c[nH]c12
CHEMBL1326499,CCc1ccccc1OC[C@@H](O)CN[C@H]1CCCc2ccccc21
CHEMBL1626224,CC(O)CNCCOc1ccccc1-c1ccccc1
CHEMBL4076830,Cc1cc(O)c(CN2CCCC2)c2c1C(=O)/C(=C\c1ccco1)O2
CHEMBL4099306,CCOC(=O)C1Oc2cccc(OCC(O)CNC(C)C)c2C1C
CHEMBL193627,CCN1C(=Cc2sc3ccccc3[n+]2C)C=Cc2cccc(C)c21
CHEMBL1233771,CCOC(=O)c1oc2cccc(OC[C@@H](O)CNC(C)C)c2c1C
CHEMBL1085010,CC(C)c1ccccc1OCC(O)CN1CCC(CN2C(=O)CCCC2=O)CC1
CHEMBL1221634,O=c1[nH]c2c(O)ccc([C@@H](O)CN[C@@H]3CCCc4ccccc43)c2s1
CHEMBL5744358,CC(C)(C)NC[C@H](O)c1cccc(C(F)(F)F)n1
CHEMBL1203999,COC(=O)c1ccc(NC(=S)Nc2ccc(CCNC[C@H](O)COc3ccccc3)cc2)cc1
CHEMBL251392,O[C@@H](CNCCOc1ccc(-c2cscn2)cc1)c1cccnc1
CHEMBL4587648,C=CCc1ccccc1OCC(O)CNCCOCCOCCOCCOCCN
CHEMBL1085013,CC(C)c1ccccc1OCC(O)CN1CCC(N2C(=O)c3cccc4cccc(c34)C2=O)CC1
CHEMBL1204009,CCOC(=O)CCc1ccc(OC[C@H](O)CNC(C)(C)Cc2ccc3ccccc3c2)c(C#N)c1
CHEMBL3323661,Cc1cccc([C@H]2CCC[C@H]2NC[C@H](O)c2ccc(O)c3[nH]c(=O)sc23)c1
CHEMBL5183062,CC(C)(C)NC(CO)c1cc(F)c(N)c(Br)c1
CHEMBL417613,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2ccc(O)cc2)cc1)c1ccccc1
CHEMBL4290197,COc1cc2c3c(c1OC)-c1ccccc1[C@@H](O)[C@]3(C)NCC2
CHEMBL1221588,Cc1onc(-c2ccccc2)c1CNC[C@H](O)c1ccc(O)c2[nH]c(=O)sc12
CHEMBL4874511,CC(C)(C)NC(CO)c1cc(Cl)c(N)c(C(F)(F)F)c1
CHEMBL444553,CC(C)(C)NCC(O)COc1cccc2[nH]cc(CC(N)=O)c12
CHEMBL398557,COc1ccc([C@H](Cc2ccccc2)NC[C@@H](O)Cc2ccc(O)c(NS(C)(=O)=O)c2)cc1OC
CHEMBL4869517,Oc1ccc2c(c1O)CC[C@@H](NC1CCCC1)[C@@H]2O
CHEMBL4860571,Oc1ccc2c(c1O)CC[C@@H](NCC1CC(F)(F)C1)[C@@H]2O
CHEMBL1221586,O=c1[nH]c2c(O)ccc([C@@H](O)CNCC34CC5CC(CC(C5)C3)C4)c2s1
CHEMBL466088,CC(Cc1ccc(NC(=O)Cc2nccn2Cc2ccccc2)cc1)NC[C@H](O)COc1ccccc1
CHEMBL572163,CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc1ccc(CCC(=O)O)cc1
CHEMBL1204005,N#C/N=C(\Nc1ccccc1)Nc1ccc(CCNC[C@H](O)COc2ccccc2)cc1
CHEMBL1946769,O=c1[nH]c2c(O)ccc(CCNCCc3cccc(CN4CCC(c5ccccc5)CC4)c3)c2s1
CHEMBL160519,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12
CHEMBL248547,CC(C)(Cc1ccc(Oc2ccc(C(N)=O)cn2)cc1)NC[C@H](O)COc1cccc2c1C1(CC1)C(=O)N2
CHEMBL124863,N#CN/C(=N\c1cccc(Oc2ccccc2)c1)Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1
CHEMBL295502,O=S(=O)(Nc1ccccc1)c1ccc2c(c1)CCN2c1noc(CCCC2CCCC2)n1
CHEMBL2088197,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3c1CCC(=O)N3)C2
CHEMBL1085016,C=CCc1ccccc1OCC(O)CN1CCC(CN2C(=O)c3ccccc3C2=O)CC1
CHEMBL430390,C[C@H](CNc1ccc(-c2nc(C(=O)O)cs2)cc1)NC[C@H](O)c1cccc(Cl)c1
CHEMBL1940826,CC(C)(C)c1ccc(C(O)CNc2ccc(CCNCC(O)c3ccc(O)c(CO)c3)cc2)cc1
CHEMBL205224,C[C@H](CNc1cccc(-c2cccc(C(=O)O)c2)c1)NC[C@H](O)c1cccc(Cl)c1
CHEMBL4277527,CC(C)(Cc1ccccc1)NC(CO)c1ccc(O)c2[nH]c(=O)ccc12
CHEMBL152535,C[C@H](Cc1ccc(OCC(=O)[O-])cc1)NC[C@H](O)c1cccc(Cl)c1
CHEMBL4249564,O=C(Nc1ccccc1)Nc1ccc(CCNC[C@H](O)COc2cccc3[nH]ccc23)cc1
CHEMBL2260989,C[C@H](Cc1cn2c3c(cccc13)OCCC2)NC[C@H](O)c1cccc(NS(=O)(=O)c2cccs2)c1
CHEMBL314639,N#Cc1cc2c(OCC(O)CN3CCN(C(c4ccccc4)c4ccccc4)CC3)cccc2[nH]1
CHEMBL3392321,N#Cc1ccccc1OCC(O)CNCCNC(=O)Nc1ccccc1
CHEMBL199824,Cn1c(=O)cnn(CCCCN2CCN(c3cccc4ccc(O[11CH3])cc34)CC2)c1=O
CHEMBL1089734,O=C(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2ccccc2)cc1
CHEMBL291467,CCCCCCCCc1cccc(N2CCc3cc(S(=O)(=O)Nc4ccccc4)ccc32)n1
CHEMBL3797876,COc1ccccc1OCCNC[C@H](O)c1ccc(O)c(O)c1
CHEMBL5200165,Nc1c(F)cc(C(CO)NC2CCCC2)cc1Br
CHEMBL183129,O=C(Nc1ccccc1)Nc1ccc(C[C@@H](CO)NC[C@H](O)COc2ccccc2)cc1
CHEMBL5196966,CCCCNC(CO)c1cc(Br)c(N)c(C#N)c1
CHEMBL6189087,CC(C)(C)NCC(O)c1cc(Cl)c(/N=N/c2c(Cl)cccc2Cl)c(Cl)c1
CHEMBL1946763,O=c1[nH]c2c(O)ccc(CCNCCc3ccc(CNCCc4ccccn4)cc3)c2s1
CHEMBL5430355,CC1(C)CC(=O)c2ccc(OC[C@@H](O)CNCCC(c3ccccc3)c3ccccc3)cc2O1
CHEMBL1083368,O=C1c2cccc3cccc(c23)C(=O)N1CC1CCN(CC(O)COc2cccc3[nH]ccc23)CC1
CHEMBL1800475,CCCCN(CCN(C)CCc1ccc(O)c2[nH]c(=O)sc12)C(=O)CCOCCc1ccccc1
CHEMBL5397120,CCc1ccccc1OC[C@@H](O)CNCCC(c1ccccc1)c1ccccc1
CHEMBL419085,C[C@H](Cc1ncc(CCCCC(=O)O)s1)NC[C@H](O)COc1ccccc1
CHEMBL6188786,CC(C)(C)NCC(O)c1ccc(/N=N/c2ccccc2)c(Cl)c1
CHEMBL1258707,OCc1cc(OCC(O)CNC2CCN(c3ncnc4ccsc34)CC2)ccc1O
CHEMBL509336,CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1
CHEMBL645,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1
CHEMBL154906,C[C@H](CNc1cccc(CNC(=O)NS(=O)(=O)c2ccccc2)c1)NC[C@H](O)c1cccc(Cl)c1
CHEMBL2088198,CCc1cc2c(cc1CC)CC(NCCc1ccc(O)c3[nH]c(=O)ccc13)C2
CHEMBL1258259,Cc1c(-c2ccccc2)sc2ncnc(N3CCC(NCC(O)COc4ccc(O)cc4)CC3)c12
CHEMBL286574,CS(=O)(=O)Nc1cc([C@@H](O)CNC2CCN(c3ccc(C(N)=O)cc3)CC2)ccc1O
CHEMBL1691,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
CHEMBL4245968,CCc1ccccc1OC[C@@H](O)CNCCc1ccc(NC(=O)Cc2ccccc2)cc1
CHEMBL462313,CC(C)N[C@@H]1CCn2c(=O)[nH]c3cccc(c32)[C@H]1O
CHEMBL422876,C[C@H](CNc1ccc(CCS(=O)(=O)NC(=O)c2ccccc2)cc1)NC[C@H](O)c1cccc(Cl)c1
CHEMBL53679,CCCCCCCCc1csc(Nc2ccc(S(=O)(=O)Nc3ccccc3)cc2)n1
CHEMBL5191729,CCOCCCNC(CO)c1cc(Cl)c(N)c(C(F)(F)F)c1
CHEMBL65042,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Cl)c(Cl)c1
CHEMBL338748,O=[N+]([O-])/C=C(\Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)Nc1cccc2ccccc12
CHEMBL5562644,CC(C)NC[C@H](O)COc1ccc(CCCCN=[N+]=[N-])cc1
